S.No.	Make	Model	Price (Ex-Showroom)	Power (bhp)	Range/Mileage	Fuel Type	Notes
501	Porsche	Taycan Cross Turismo	₹1.74 - 2.38 Crore	469-750 bhp	388-456 km/charge	Electric	Current generation
502	Porsche	Cayman	N/A	N/A	N/A	N/A	Part of 718 series, not standalone
503	Porsche	Carrera GT	N/A	N/A	N/A	N/A	Classic car, no current data
Premier							
504	Premier	118 NE	N/A	N/A	N/A	N/A	Classic car, no current data
505	Premier	138 D	N/A	N/A	N/A	N/A	Unclear model name, assuming typo or very rare
506	Premier	Padmini	N/A	N/A	N/A	N/A	Classic car, no current data
507	Premier	Rio	₹5.00 - 7.00 Lakh	65 bhp	16.0 kmpl	Diesel	Discontinued, last known data
Rolls Royce							
508	Rolls Royce	Ghost	₹6.95 - 7.95 Crore	563 bhp	6.0 kmpl	Petrol	Current generation
509	Rolls Royce	Phantom	₹9.50 - 11.35 Crore	563 bhp	6.0 kmpl	Petrol	Current generation
510	Rolls Royce	Wraith	₹6.22 Crore	624 bhp	6.0 kmpl	Petrol	Discontinued, last known data
511	Rolls Royce	Dawn	₹6.44 Crore	563 bhp	6.0 kmpl	Petrol	Discontinued, last known data
512	Rolls Royce	Coupe	N/A	N/A	N/A	N/A	Not a specific model, refers to body style
513	Rolls Royce	Cullinan	₹6.95 Crore	563 bhp	6.0 kmpl	Petrol	Current generation
514	Rolls Royce	Spectre	₹7.50 Crore (Est.)	~577 bhp (Est.)	~520 km/charge (Est.)	Electric	Expected Launch: Late 2024
SAAB							
515	SAAB	09-Mar	N/A	N/A	N/A	N/A	Discontinued, not sold in India
San							
516	San	Storme	N/A	N/A	N/A	N/A	Unclear model name, assuming typo or very rare
Sipani							
517	Sipani	Badal	N/A	N/A	N/A	N/A	Classic car, no current data
518	Sipani	Dolphin	N/A	N/A	N/A	N/A	Classic car, no current data
519	Sipani	Montana	N/A	N/A	N/A	N/A	Classic car, no current data
520	Sipani	D-1	N/A	N/A	N/A	N/A	Unclear model name, assuming typo or very rare
521	Sipani	Montego	N/A	N/A	N/A	N/A	Unclear model name, assuming typo or very rare
Skoda							
522	Skoda	Superb	₹34.00 - 37.00 Lakh	188 bhp	15.1 kmpl	Petrol	Current generation
523	Skoda	Slavia	₹10.89 - 19.12 Lakh	113-148 bhp	18.7-20.3 kmpl	Petrol	Current generation
524	Skoda	Rapid	₹7.50 - 13.00 Lakh	108-103 bhp	14.8-21.7 kmpl	Petrol/Diesel	Discontinued, last known data
525	Skoda	Octavia	₹27.85 - 31.50 Lakh	188 bhp	15.8 kmpl	Petrol	Current generation
526	Skoda	Kushaq	₹10.89 - 19.99 Lakh	113-148 bhp	17.8-19.2 kmpl	Petrol	Current generation
527	Skoda	Kodiaq	₹39.99 Lakh	188 bhp	12.7 kmpl	Petrol	Current generation
528	Skoda	Laura	₹12.00 - 17.00 Lakh	108-158 bhp	16.0-20.0 kmpl	Petrol/Diesel	Discontinued, last known data
529	Skoda	Fabia	₹5.00 - 8.00 Lakh	74-103 bhp	14.0-21.0 kmpl	Petrol/Diesel	Discontinued, last known data
530	Skoda	Karoq	₹25.00 Lakh	148 bhp	14.4 kmpl	Petrol	Discontinued, last known data
531	Skoda	Kamiq	N/A	N/A	N/A	N/A	Not officially sold in India
532	Skoda	Yeti	₹15.00 - 20.00 Lakh	108-138 bhp	14.0-17.0 kmpl	Diesel	Discontinued, last known data
533	Skoda	Octavia RS 245	₹36.00 Lakh	245 bhp	16.0 kmpl	Petrol	Discontinued, last known data
534	Skoda	Kylaw	N/A	N/A	N/A	N/A	Unclear model name, assuming typo or very rare
Ssangyong							
535	Ssangyong	Rexton	₹25.00 - 30.00 Lakh	184 bhp	15.0 kmpl	Diesel	Discontinued (rebadged as Mahindra Alturas G4)
Standard							
536	Standard	Vanguard	N/A	N/A	N/A	N/A	Classic car, no current data
537	Standard	Herald	N/A	N/A	N/A	N/A	Classic car, no current data
538	Standard	Gazel	N/A	N/A	N/A	N/A	Classic car, no current data
539	Standard	2000	N/A	N/A	N/A	N/A	Classic car, no current data
540	Standard	Atlas	N/A	N/A	N/A	N/A	Unclear model name, assuming typo or very rare
Volkswagen							
541	Volkswagen	Polo	₹6.00 - 10.00 Lakh	75-108 bhp	16.0-18.0 kmpl	Petrol	Discontinued in India
542	Volkswagen	Vento	₹9.00 - 14.00 Lakh	105-108 bhp	16.0-22.0 kmpl	Petrol/Diesel	Discontinued in India
543	Volkswagen	Taigun	₹11.70 - 19.70 Lakh	113-148 bhp	17.2-19.8 kmpl	Petrol	Current generation
544	Volkswagen	Ameo	₹6.00 - 10.00 Lakh	75-108 bhp	19.0-22.0 kmpl	Petrol/Diesel	Discontinued in India
545	Volkswagen	Virtus	₹11.56 - 19.40 Lakh	113-148 bhp	18.4-20.6 kmpl	Petrol	Current generation
546	Volkswagen	Tiguan	₹35.17 Lakh	187 bhp	12.6 kmpl	Petrol	Current generation
547	Volkswagen	Jetta	₹15.00 - 20.00 Lakh	120-138 bhp	14.0-19.0 kmpl	Petrol/Diesel	Discontinued in India
548	Volkswagen	Beetle	₹25.00 - 30.00 Lakh	103 bhp	17.6 kmpl	Petrol	Discontinued in India
549	Volkswagen	Tiguan Allspace	₹34.00 Lakh	187 bhp	11.0 kmpl	Petrol	Discontinued, last known data
550	Volkswagen	Passat	₹30.00 - 35.00 Lakh	174 bhp	17.4 kmpl	Diesel	Discontinued in India
551	Volkswagen	1600	N/A	N/A	N/A	N/A	Classic car, no current data
552	Volkswagen	T-Roc	₹21.35 Lakh	148 bhp	15.0 kmpl	Petrol	Discontinued, last known data
553	Volkswagen	GTI	N/A	N/A	N/A	N/A	Part of Golf GTI, not standalone
554	Volkswagen	Touareg	₹50.00 - 60.00 Lakh	245 bhp	11.0 kmpl	Diesel	Discontinued in India
555	Volkswagen	Phaeton	N/A	N/A	N/A	N/A	Not sold in India
556	Volkswagen	Caravelle	N/A	N/A	N/A	N/A	Not sold in India
557	Volkswagen	Transporter	N/A	N/A	N/A	N/A	Not sold in India
558	Volkswagen	7HM H13	N/A	N/A	N/A	N/A	Unclear model name, likely commercial
559	Volkswagen	Tiguan R-Line	₹49.00 Lakh	187 bhp	12.6 kmpl	Petrol	Current generation (variant)
560	Volkswagen	Golf GTI	₹53.00 Lakh	261-265 bhp	12.0-14.0 kmpl	Petrol	Current generation
561	Volkswagen	ID.4	₹50.00 - 55.00 Lakh (Est.)	~201-295 bhp (Est.)	~400-500 km/charge (Est.)	Electric	Expected Launch: Late 2024
Volvo							
562	Volvo	XC90	₹1.01 - 1.08 Crore	300-310 bhp	17.0 kmpl	Petrol Hybrid	Current generation
563	Volvo	XC60	₹68.90 Lakh	247 bhp	12.0 kmpl	Petrol Hybrid	Current generation
564	Volvo	S90	₹68.25 Lakh	247 bhp	14.7 kmpl	Petrol Hybrid	Current generation
565	Volvo	S60	₹45.90 Lakh	187 bhp	14.0 kmpl	Petrol	Discontinued, last known data
566	Volvo	V90 Cross Country	₹67.00 Lakh	235 bhp	15.0 kmpl	Diesel	Discontinued, last known data
567	Volvo	V4	N/A	N/A	N/A	N/A	Unclear model name, assuming typo or very rare
568	Volvo	XC40	₹46.00 Lakh	190 bhp	14.0 kmpl	Petrol	Current generation
569	Volvo	V40 Cross Country	₹35.00 - 38.00 Lakh	150-190 bhp	16.0-18.0 kmpl	Petrol/Diesel	Discontinued, last known data
570	Volvo	S80	₹45.00 - 50.00 Lakh	163-205 bhp	18.0 kmpl	Diesel	Discontinued, last known data
571	Volvo	V70	N/A	N/A	N/A	N/A	Not sold in India
572	Volvo	S40	N/A	N/A	N/A	N/A	Not sold in India
573	Volvo	C40 Recharge	₹62.95 Lakh	402 bhp	530 km/charge	Electric	Current generation
574	Volvo	EX30	₹40.00 - 50.00 Lakh (Est.)	~268-422 bhp (Est.)	~344-480 km/charge (Est.)	Electric	Expected Launch: Mid-2025
575	Volvo	EX90	₹1.00 - 1.20 Crore (Est.)	~402-510 bhp (Est.)	~467-600 km/charge (Est.)	Electric	Expected Launch: Late 2025
Willys							
576	Willys	Mahindra Willys	N/A	N/A	N/A	N/A	Classic car, historical data only
